MatchId,SummonerId,SummonerLevel,QueuesRanks,ChampionName,Mastery,LastTimeChampionPlayed,Summoner1,Summoner2,Role,Team
EUW1_6426368125,HI5GvxLKl1lzl8UTTPWCl_fUSONDGWETVLyv2bVk0W0xN10,309,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'PLATINUM', 'rank': 'III'}]",Teemo,273660,1685310001000,14,4,TOP,Red
EUW1_6426368125,0z-HNnt-gV4kCTT7IGhTJ8nSYilk-OTSOHrxgrWFiQuUq7ta8Q2V5oB1Rw,124,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'PLATINUM', 'rank': 'IV'}]",XinZhao,7279,1685310001000,4,11,JUNGLE,Red
EUW1_6426368125,Xyt07Bcyru2wu3H2CT05-839hont3_YZy9VYbrJnsV3e_kE,727,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'IV'}]",Galio,6101,1685310001000,4,12,MIDDLE,Red
EUW1_6426368125,KWVKhlLUTVmfFz_qscEXCrvEe3XNjM8cZyEIvwFcWI5jh84,490,[],Kaisa,228131,1685315271000,3,4,BOTTOM,Red
EUW1_6426368125,ul-yCxDr6YlRBRWpUV9-VvFVwR6oaFJDrJ6He5hXZtSBKs8,472,[],Zac,17842,1685315271000,4,14,UTILITY,Red
EUW1_6426368125,6jjzTTFDqHqSeM5PHxoUShF_YXKzfJS4mOeQL7bWD88eB1o,262,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'PLATINUM', 'rank': 'II'}]",Kayn,62811,1685652980000,6,14,TOP,Blue
EUW1_6426368125,Zk6koFL_E3En9PJdgWJpnn3dUsNK_BND8xs3RnhAGH5JqbY,440,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'SILVER', 'rank': 'I'}, {'queueType': 'RANKED_FLEX_SR', 'tier': 'SILVER', 'rank': 'I'}]",Nunu,40298,1685734410000,11,4,JUNGLE,Blue
EUW1_6426368125,w_VOiFUN1EsMKr67fxXPbFuP2QvS8Za1lMdDowTqFeQOq2WJ,621,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'IV'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'PLATINUM', 'rank': 'IV'}, {'queueType': 'RANKED_TFT_DOUBLE_UP', 'tier': 'BRONZE', 'rank': 'I'}]",Varus,58849,1685728579000,14,4,MIDDLE,Blue
EUW1_6426368125,fm7CFcHv7lpbGu1zpLkQYWGQleFTLXTuGKF6FpEHlGEmi7w,372,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'DIAMOND', 'rank': 'II'}]",Jhin,428017,1685548463000,6,4,BOTTOM,Blue
EUW1_6426368125,Q_mm2vTfvYGbHdrxAAE9RhbMKVI52knTyX6vAOPuaPR8m6M,366,"[{'queueType': 'RANKED_FLEX_SR', 'tier': 'GOLD', 'rank': 'III'}, {'queueType': 'RANKED_SOLO_5x5', 'tier': 'GOLD', 'rank': 'III'}]",Blitzcrank,231416,1685310001000,14,4,UTILITY,Blue
EUW1_6426164432,GKW01kg2GirDQ9QSWDiRrfsQjKNLIAAoZMO4cf6MFrQZQLxW,30,[],Riven,20353,1685659994000,14,4,TOP,Red
EUW1_6426164432,F-cOjYfniUoBRnlCBXwN5GHNDDkKP31EaN3xfG2CljicV2E,242,"[{'queueType': 'RANKED_SOLO_5x5', 'tier': 'PLATINUM', 'rank': 'IV'}]",Ekko,82236,1685303849000,11,4,JUNGLE,Red
EUW1_6426164432,8KcWjoEe7bp51jbQnRrk-QmF-PJlBii_n2hnqdWF5VigvzO5,55,"[{'queueType': 'RANKED_TFT_DOUBLE_UP', 'tier': 'PLATINUM', 'rank': 'IV'}]",Katarina,100609,1685470642000,14,4,MIDDLE,Red
EUW1_6426164432,c7th5oRBLLLunX1iT6rjzk5vQmTVKBS4xCdRNX_LKdno47MBMF4jdyN_dg,18,[],MissFortune,2379,1685308646000,7,4,BOTTOM,Red
